num, diff, time, interval, avg
3,27959006,1500300647,34,34
4,27945355,1500300676,29,31.5
5,27931710,1500300716,40,34.333333333333336
6,27945348,1500300721,5,27
7,27958993,1500300729,8,23.2
8,27972644,1500300740,11,21.166666666666668
9,27958986,1500300772,32,22.714285714285715
10,27972637,1500300784,12,21.375
11,27986295,1500300791,7,19.77777777777778
12,27999960,1500300798,7,18.5
13,28013631,1500300807,9,16
14,27999953,1500300829,22,15.3
15,28013624,1500300837,8,12.1
16,28027302,1500300849,12,12.8
17,28040987,1500300858,9,12.9
18,28027296,1500300873,15,13.3
19,28040981,1500300883,10,11.1
20,28027290,1500300896,13,11.2
21,28040975,1500300900,4,10.9
22,28054666,1500300905,5,10.7
23,28040968,1500300919,14,11.2
24,28054659,1500300922,3,9.3
25,28068357,1500300924,2,8.7
26,28054652,1500300945,21,9.6
27,28068350,1500300956,11,9.8
28,28054645,1500300970,14,9.7
29,28040947,1500300987,17,10.4
30,28054638,1500300997,10,10.1
31,28040940,1500301038,41,13.8
32,28054631,1500301045,7,14
33,28068329,1500301054,9,13.5
34,28082034,1500301062,8,14
35,28095745,1500301070,8,14.6
36,28109463,1500301076,6,13.1
37,28095738,1500301090,14,13.4
38,28109456,1500301096,6,12.6
39,28095731,1500301118,22,13.1
40,28082013,1500301142,24,14.5
41,28068302,1500301160,18,12.2
42,28082007,1500301168,8,12.3
43,28095718,1500301179,11,12.5
44,28109436,1500301187,8,12.5
45,28123161,1500301193,6,12.3
46,28109429,1500301208,15,13.2
47,28123154,1500301212,4,12.2
48,28109422,1500301230,18,13.4
49,28123147,1500301238,8,12
50,28109415,1500301261,23,11.9
51,28123140,1500301269,8,10.9
52,28136872,1500301271,2,10.3
53,28150610,1500301278,7,9.9
54,28136865,1500301291,13,10.4
55,28123127,1500301326,35,13.3
56,28109396,1500301351,25,14.3
57,28123121,1500301353,2,14.1
58,28136852,1500301355,2,12.5
59,28150590,1500301360,5,12.2
60,28164335,1500301365,5,10.4
61,28150583,1500301382,17,11.3
62,28136838,1500301396,14,12.5
63,28123100,1500301438,42,16
64,28136831,1500301441,3,15
65,28150569,1500301445,4,11.9
66,28164314,1500301448,3,9.7
67,28150562,1500301477,29,12.4
68,28164307,1500301485,8,13
69,28178059,1500301488,3,12.8
