num, diff, time, interval, avg
3,27986322,1500556803,4,4
4,27972657,1500556869,66,35
5,27958999,1500556888,19,29.666666666666668
6,27945348,1500556925,37,31.5
7,27958993,1500556931,6,26.4
8,27972644,1500556933,2,22.333333333333332
9,27958986,1500556966,33,23.857142857142858
10,27945335,1500556987,21,23.5
11,27958980,1500556999,12,22.22222222222222
12,27945329,1500557035,36,23.6
13,27931684,1500557050,15,24.7
14,27945322,1500557059,9,19
15,27931677,1500557082,23,19.4
16,27945315,1500557084,2,15.9
17,27958960,1500557094,10,16.3
18,27945309,1500557114,20,18.1
19,27958954,1500557120,6,15.4
20,27972605,1500557124,4,13.7
21,27958947,1500557137,13,13.8
22,27972598,1500557149,12,11.4
23,27986256,1500557151,2,10.1
24,27999921,1500557160,9,10.1
25,28013592,1500557168,8,8.6
26,27999914,1500557204,36,12
27,27986243,1500557220,16,12.6
28,27972578,1500557253,33,13.9
29,27986236,1500557258,5,13.8
30,27999901,1500557268,10,14.4
31,27986230,1500557296,28,15.9
32,27999895,1500557302,6,15.3
33,28013566,1500557311,9,16
34,28027244,1500557315,4,15.5
35,28040929,1500557327,12,15.9
36,28027238,1500557347,20,14.3
37,28040923,1500557351,4,13.1
38,28027232,1500557384,33,13.1
39,28040917,1500557393,9,13.5
40,28027226,1500557412,19,14.4
41,28040911,1500557414,2,11.8
42,28054602,1500557420,6,11.8
43,28068300,1500557427,7,11.6
44,28082005,1500557435,8,12
45,28095716,1500557444,9,11.7
46,28109434,1500557446,2,9.9
47,28095709,1500557474,28,12.3
48,28081991,1500557493,19,10.9
49,28068280,1500557511,18,11.8
50,28081985,1500557514,3,10.2
51,28095696,1500557518,4,10.4
52,28081978,1500557536,18,11.6
53,28068267,1500557554,18,12.7
54,28054562,1500557568,14,13.3
55,28040864,1500557583,15,13.9
56,28027173,1500557606,23,16
57,28040858,1500557611,5,13.7
58,28027167,1500557662,51,16.9
59,28013482,1500557679,17,16.8
60,27999804,1500557692,13,17.8
61,27986133,1500557706,14,18.8
62,27972468,1500557720,14,18.4
63,27958810,1500557737,17,18.3
64,27972461,1500557745,8,17.7
65,27958803,1500557763,18,18
66,27972454,1500557765,2,15.9
67,27986112,1500557767,2,15.6
68,27999777,1500557772,5,11
69,27986106,1500557806,34,12.7
70,27999771,1500557808,2,11.6
71,28013442,1500557812,4,10.6
72,28027120,1500557820,8,10
73,28040805,1500557825,5,8.8
74,28054496,1500557831,6,8.6
75,28068194,1500557839,8,7.6
76,28081899,1500557848,9,8.3
77,28068188,1500557884,36,11.7
78,28081893,1500557887,3,11.5
79,28095604,1500557894,7,8.8
80,28081886,1500557920,26,11.2
81,28068175,1500557961,41,14.9
82,28081880,1500557969,8,14.9
83,28095591,1500557974,5,14.9
84,28109309,1500557983,9,15.2
85,28095584,1500558006,23,16.7
86,28109302,1500558008,2,16
87,28095577,1500558051,43,16.7
88,28109295,1500558062,11,17.5
89,28123020,1500558064,2,17
90,28136751,1500558066,2,14.6
91,28150489,1500558071,5,11
92,28164234,1500558082,11,11.3
93,28150482,1500558113,31,13.9
94,28136737,1500558141,28,15.8
95,28150475,1500558150,9,14.4
96,28164220,1500558154,4,14.6
97,28177972,1500558160,6,10.9
98,28191730,1500558162,2,10
99,28177965,1500558192,30,12.8
100,28191723,1500558195,3,12.9
101,28205488,1500558199,4,12.8
102,28219260,1500558203,4,12.1
103,28233038,1500558215,12,10.2
104,28246823,1500558227,12,8.6
105,28233031,1500558241,14,9.1
106,28246816,1500558246,5,9.2
107,28233024,1500558310,64,15
108,28246809,1500558314,4,15.2
109,28260601,1500558325,11,13.3
110,28274400,1500558335,10,14
111,28288205,1500558343,8,14.4
112,28302017,1500558350,7,14.7
113,28315836,1500558353,3,13.8
114,28329662,1500558357,4,13
115,28315830,1500558386,29,14.5
116,28329656,1500558390,4,14.4
117,28343488,1500558401,11,9.1
118,28329649,1500558414,13,10
119,28315817,1500558459,45,13.4
120,28329643,1500558469,10,13.4
121,28315811,1500558507,38,16.4
122,28301985,1500558548,41,19.8
123,28315804,1500558560,12,20.7
124,28329630,1500558572,12,21.5
125,28343462,1500558577,5,19.1
126,28329623,1500558603,26,21.3
127,28343455,1500558609,6,20.8
128,28329616,1500558648,39,23.4
129,28315784,1500558679,31,22
130,28329610,1500558682,3,21.3
131,28343442,1500558688,6,18.1
132,28357281,1500558690,2,14.2
133,28371127,1500558695,5,13.5
134,28357274,1500558719,24,14.7
135,28371120,1500558724,5,14.7
136,28384973,1500558727,3,12.4
137,28398832,1500558737,10,12.8
138,28384966,1500558751,14,10.3
139,28371107,1500558792,41,11.3
140,28384960,1500558799,7,11.7
141,28371101,1500558831,32,14.3
142,28357248,1500558872,41,18.2
143,28343402,1500558892,20,19.7
144,28357241,1500558899,7,18
145,28343395,1500558913,14,18.9
146,28357234,1500558922,9,19.5
147,28343388,1500558939,17,20.2
148,28329549,1500558959,20,20.8
149,28315717,1500558980,21,18.8
150,28329543,1500558982,2,18.3
151,28343375,1500558993,11,16.2
152,28357214,1500559000,7,12.8
153,28343368,1500559019,19,12.7
154,28329529,1500559059,40,16
155,28343361,1500559064,5,15.1
156,28357200,1500559070,6,14.8
157,28371046,1500559080,10,14.1
158,28384899,1500559083,3,12.4
159,28398758,1500559086,3,10.6
160,28412624,1500559092,6,11
161,28398751,1500559156,64,16.3
162,28384885,1500559173,17,17.3
163,28398744,1500559181,8,16.2
164,28384878,1500559216,35,15.7
165,28371019,1500559251,35,18.7
166,28357166,1500559312,61,24.2
167,28371012,1500559319,7,23.9
168,28384865,1500559325,6,24.2
169,28398724,1500559333,8,24.7
170,28384858,1500559366,33,27.4
171,28398717,1500559375,9,21.9
172,28384851,1500559403,28,23
173,28370992,1500559417,14,23.6
174,28357139,1500559434,17,21.8
175,28343293,1500559453,19,20.2
176,28329454,1500559492,39,18
177,28315622,1500559507,15,18.8
178,28301797,1500559536,29,21.1
179,28315616,1500559546,10,21.3
180,28329441,1500559556,10,19
181,28343273,1500559561,5,18.6
182,28357112,1500559567,6,16.4
183,28343266,1500559585,18,16.8
184,28357105,1500559590,5,15.6
185,28343259,1500559616,26,16.3
186,28357098,1500559626,10,13.4
187,28370944,1500559630,4,12.3
188,28357091,1500559643,13,10.7
189,28370937,1500559652,9,10.6
190,28384789,1500559660,8,10.4
191,28398648,1500559671,11,11
192,28412514,1500559672,1,10.5
193,28426387,1500559682,10,9.7
194,28412507,1500559698,16,10.8
195,28426380,1500559710,12,9.4
196,28412500,1500559759,49,13.3
197,28398627,1500559799,40,16.9
198,28412493,1500559804,5,16.1
199,28398620,1500559821,17,16.9
200,28412486,1500559827,6,16.7
201,28426359,1500559834,7,16.3
