num, diff, time, interval, avg
3,27959006,1504090706,39,39
4,27972657,1504090713,7,23
5,27958999,1504090751,38,28
6,27945348,1504090764,13,24.25
7,27958993,1504090770,6,20.6
8,27972644,1504090779,9,18.666666666666668
9,27986302,1504090781,2,16.285714285714285
10,27972637,1504090804,23,17.125
11,27986295,1504090812,8,16.11111111111111
12,27999960,1504090815,3,14.8
13,27986289,1504090834,19,12.8
14,27999954,1504090842,8,12.9
15,28013625,1504090852,10,10.1
16,28027303,1504090858,6,9.4
17,28040988,1504090865,7,9.5
18,28054679,1504090877,12,9.8
19,28068377,1504090882,5,10.1
20,28054672,1504090896,14,9.2
21,28040974,1504090944,48,13.2
22,28027283,1504090967,23,15.2
23,28013598,1504090987,20,15.3
24,27999920,1504091001,14,15.9
25,28013591,1504091009,8,15.7
26,28027269,1504091019,10,16.1
27,28040954,1504091027,8,16.2
28,28054645,1504091036,9,15.9
29,28068343,1504091042,6,16
30,28054638,1504091056,14,16
31,28068336,1504091065,9,12.1
32,28082041,1504091069,4,10.2
33,28095752,1504091072,3,8.5
34,28082034,1504091088,16,8.7
35,28095745,1504091096,8,8.7
36,28109463,1504091099,3,8
37,28123188,1504091106,7,7.9
38,28136920,1504091112,6,7.6
39,28150658,1504091117,5,7.5
40,28136913,1504091188,71,13.2
41,28150651,1504091195,7,13
42,28136906,1504091209,14,14
43,28150644,1504091221,12,14.9
44,28164389,1504091223,2,13.5
45,28178141,1504091228,5,13.2
46,28191899,1504091234,6,13.5
47,28178134,1504091256,22,15
48,28164376,1504091313,57,20.1
49,28178128,1504091318,5,20.1
50,28164370,1504091354,36,16.6
51,28178122,1504091362,8,16.7
52,28164364,1504091378,16,16.9
53,28178116,1504091388,10,16.7
54,28191874,1504091389,1,16.6
55,28205639,1504091392,3,16.4
56,28219411,1504091404,12,17
57,28233190,1504091410,6,15.4
58,28246975,1504091418,8,10.5
59,28233183,1504091432,14,11.4
60,28219398,1504091445,13,9.1
61,28233177,1504091453,8,9.1
62,28246962,1504091460,7,8.2
63,28260754,1504091472,12,8.4
64,28246955,1504091491,19,10.2
65,28260747,1504091494,3,10.2
66,28274546,1504091505,11,10.1
67,28288351,1504091511,6,10.1
68,28274539,1504091537,26,11.9
69,28260734,1504091562,25,13
70,28246935,1504091612,50,16.7
71,28260727,1504091617,5,16.4
72,28274526,1504091618,1,15.8
73,28260721,1504091647,29,17.5
74,28274520,1504091656,9,16.5
75,28288325,1504091667,11,17.3
76,28274513,1504091705,38,20
77,28260708,1504091728,23,21.7
78,28246909,1504091742,14,20.5
79,28233117,1504091757,15,19.5
80,28246902,1504091761,4,14.9
81,28260694,1504091766,5,14.9
82,28246895,1504091779,13,16.1
83,28260687,1504091790,11,14.3
84,28246888,1504091805,15,14.9
85,28260680,1504091808,3,14.1
86,28246881,1504091822,14,11.7
87,28260673,1504091831,9,10.3
88,28274472,1504091837,6,9.5
89,28288277,1504091838,1,8.1
90,28302089,1504091848,10,8.7
91,28288270,1504091869,21,10.3
92,28274458,1504091912,43,13.3
93,28288263,1504091917,5,12.7
94,28302075,1504091922,5,11.7
95,28315894,1504091926,4,11.8
96,28302068,1504091951,25,12.9
97,28315887,1504091959,8,12.8
98,28329713,1504091966,7,12.9
99,28315881,1504092018,52,18
100,28329707,1504092030,12,18.2
101,28343539,1504092042,12,17.3
102,28329700,1504092069,27,15.7
103,28343532,1504092073,4,15.6
104,28329693,1504092097,24,17.5
105,28315861,1504092111,14,18.5
106,28329687,1504092115,4,16.4
107,28343519,1504092120,5,16.1
108,28357358,1504092130,10,16.4
109,28343512,1504092147,17,12.9
110,28357351,1504092150,3,12
111,28343505,1504092171,21,12.9
112,28357344,1504092177,6,10.8
113,28371190,1504092180,3,10.7
114,28357337,1504092197,17,10
115,28371183,1504092205,8,9.4
116,28385036,1504092216,11,10.1
117,28371177,1504092247,31,12.7
118,28357324,1504092263,16,13.3
119,28371170,1504092269,6,12.2
120,28385023,1504092272,3,12.2
121,28398882,1504092274,2,10.3
122,28412748,1504092279,5,10.2
123,28426621,1504092289,10,10.9
124,28440501,1504092294,5,9.7
125,28454387,1504092303,9,9.8
126,28468280,1504092307,4,9.1
127,28482180,1504092318,11,7.1
128,28468273,1504092363,45,10
129,28482173,1504092366,3,9.7
130,28468266,1504092392,26,12
131,28482166,1504092396,4,12.2
132,28496073,1504092408,12,12.9
133,28509987,1504092420,12,13.1
134,28523907,1504092430,10,13.6
135,28537834,1504092437,7,13.4
136,28551768,1504092447,10,14
137,28565709,1504092456,9,13.8
138,28579657,1504092462,6,9.9
139,28593611,1504092467,5,10.1
140,28607572,1504092479,12,8.7
141,28593604,1504092492,13,9.6
142,28579643,1504092519,27,11.1
143,28593597,1504092526,7,10.6
144,28607558,1504092528,2,9.8
145,28621526,1504092533,5,9.6
146,28635501,1504092536,3,8.9
147,28649483,1504092538,2,8.2
148,28635494,1504092557,19,9.5
149,28649476,1504092560,3,9.3
150,28635487,1504092622,62,14.3
151,28621505,1504092652,30,16
152,28635480,1504092655,3,13.6
153,28621498,1504092687,32,16.1
154,28635473,1504092695,8,16.7
155,28649455,1504092707,12,17.4
156,28663443,1504092711,4,17.5
157,28677438,1504092713,2,17.5
158,28691440,1504092717,4,16
159,28705449,1504092720,3,16
160,28691433,1504092739,19,11.7
161,28677424,1504092784,45,13.2
162,28691426,1504092795,11,14
163,28705435,1504092807,12,12
164,28719451,1504092811,4,11.6
165,28705428,1504092835,24,12.8
166,28691412,1504092876,41,16.5
167,28677403,1504092892,16,17.9
168,28663401,1504092923,31,20.6
169,28677396,1504092928,5,20.8
170,28691398,1504092929,1,19
171,28677389,1504092980,51,19.6
172,28663387,1504093005,25,21
173,28677382,1504093011,6,20.4
174,28691384,1504093016,5,20.5
175,28705393,1504093018,2,18.3
176,28691377,1504093031,13,15.5
177,28677368,1504093089,58,19.7
178,28691370,1504093100,11,17.7
179,28705379,1504093106,6,17.8
180,28691363,1504093126,20,19.7
181,28705372,1504093130,4,15
182,28719388,1504093134,4,12.9
183,28733411,1504093136,2,12.5
184,28719382,1504093184,48,16.8
185,28733405,1504093193,9,17.5
186,28747434,1504093201,8,17
187,28733398,1504093217,16,12.8
188,28719369,1504093251,34,15.1
189,28733392,1504093258,7,15.2
190,28747421,1504093263,5,13.7
191,28733385,1504093279,16,14.9
192,28719356,1504093292,13,15.8
193,28705333,1504093313,21,17.7
194,28691317,1504093332,19,14.8
195,28677308,1504093350,18,15.7
196,28663306,1504093372,22,17.1
197,28649311,1504093385,13,16.8
198,28663299,1504093388,3,13.7
199,28649304,1504093401,13,14.3
200,28663292,1504093407,6,14.4
201,28677287,1504093413,6,13.4
202,28663285,1504093426,13,13.4
203,28677280,1504093436,10,12.3
204,28691282,1504093439,3,10.7
205,28677273,1504093453,14,10.3
206,28691275,1504093463,10,9.1
207,28677266,1504093481,18,9.6
208,28663264,1504093510,29,12.2
209,28649269,1504093526,16,12.5
210,28635281,1504093551,25,14.4
211,28621299,1504093584,33,17.1
212,28635274,1504093590,6,16.4
213,28621292,1504093605,15,16.9
214,28635267,1504093617,12,17.8
215,28649249,1504093620,3,16.7
216,28663237,1504093630,10,16.7
217,28677232,1504093633,3,15.2
218,28691234,1504093636,3,12.6
219,28677225,1504093650,14,12.4
220,28663223,1504093679,29,12.8
221,28677218,1504093685,6,10.1
222,28691220,1504093693,8,10.3
223,28677211,1504093732,39,12.7
224,28663209,1504093771,39,15.4
225,28677204,1504093775,4,15.5
226,28691206,1504093786,11,15.6
227,28705215,1504093798,12,16.5
228,28691199,1504093829,31,19.3
229,28705208,1504093838,9,18.8
230,28691192,1504093857,19,17.8
231,28677183,1504093911,54,22.6
232,28663181,1504093925,14,23.2
233,28677176,1504093929,4,19.7
234,28663174,1504093945,16,17.4
235,28677169,1504093949,4,17.4
236,28663167,1504094044,95,25.8
237,28649172,1504094063,19,26.5
238,28635184,1504094077,14,24.8
239,28621202,1504094108,31,27
240,28607227,1504094125,17,26.8
241,28621195,1504094130,5,21.9
242,28607220,1504094158,28,23.3
243,28621188,1504094166,8,23.7
244,28635163,1504094168,2,22.3
245,28649145,1504094175,7,22.6
246,28635157,1504094203,28,15.9
247,28621175,1504094229,26,16.6
248,28607200,1504094305,76,22.8
249,28621168,1504094315,10,20.7
250,28607193,1504094342,27,21.7
251,28593225,1504094359,17,22.9
252,28579264,1504094393,34,23.5
253,28593218,1504094398,5,23.2
254,28579257,1504094499,101,33.1
255,28565303,1504094529,30,35.4
256,28579250,1504094540,11,33.7
257,28565296,1504094584,44,35.5
258,28551349,1504094604,20,29.9
259,28537408,1504094617,13,30.2
260,28551342,1504094628,11,28.6
261,28537401,1504094662,34,30.3
262,28551335,1504094671,9,27.8
263,28537394,1504094726,55,32.8
264,28551328,1504094732,6,23.3
265,28537387,1504094874,142,34.5
266,28523453,1504094889,15,34.9
267,28509526,1504094904,15,32
268,28495606,1504094963,59,35.9
269,28481693,1504095060,97,44.3
270,28467786,1504095172,112,54.4
271,28453886,1504095211,39,54.9
272,28439993,1504095236,25,56.5
273,28426107,1504095277,41,55.1
274,28439986,1504095284,7,55.2
275,28426100,1504095324,40,45
276,28412221,1504095359,35,47
277,28398348,1504095399,40,49.5
278,28384482,1504095490,91,52.7
279,28370623,1504095644,154,58.4
280,28356771,1504095667,23,49.5
281,28342925,1504095774,107,56.3
282,28329086,1504095864,90,62.8
283,28342918,1504095870,6,59.3
284,28329079,1504095934,64,65
285,28342911,1504095944,10,62
286,28329072,1504095974,30,61.5
287,28342904,1504095983,9,58.4
