num, diff, time, interval, avg
3,27986322,1503661007,5,5
4,27999987,1503661015,8,6.5
5,27986316,1503661032,17,10
6,27972651,1503661056,24,13.5
7,27986309,1503661062,6,12
8,27999974,1503661068,6,11
9,28013645,1503661072,4,10
10,28027323,1503661075,3,9.125
11,28013638,1503661096,21,10.444444444444445
12,27999960,1503661113,17,11.1
13,28013631,1503661125,12,11.8
14,28027309,1503661132,7,11.7
15,28040994,1503661134,2,10.2
16,28027303,1503661159,25,10.3
17,28040988,1503661171,12,10.9
18,28027297,1503661184,13,11.6
19,28040982,1503661191,7,11.9
20,28054673,1503661195,4,12
21,28068371,1503661203,8,10.7
22,28054666,1503661230,27,11.7
23,28068364,1503661233,3,10.8
24,28054659,1503661261,28,12.9
25,28068357,1503661266,5,13.2
26,28082062,1503661273,7,11.4
27,28095773,1503661277,4,10.6
28,28109491,1503661283,6,9.9
29,28095766,1503661314,31,12.3
30,28109484,1503661323,9,12.8
31,28123209,1503661331,8,12.8
32,28136941,1503661340,9,11
33,28123203,1503661353,13,12
34,28109471,1503661376,23,11.5
35,28095746,1503661389,13,12.3
36,28109464,1503661392,3,11.9
37,28123189,1503661404,12,12.7
38,28136921,1503661414,10,13.1
39,28150659,1503661426,12,11.2
40,28136914,1503661465,39,14.2
41,28123176,1503661479,14,14.8
42,28136908,1503661486,7,14.6
43,28123170,1503661528,42,17.5
44,28136902,1503661536,8,16
45,28150640,1503661543,7,15.4
46,28164385,1503661549,6,15.7
47,28178137,1503661559,10,15.5
48,28191895,1503661563,4,14.9
49,28205660,1503661572,9,14.6
50,28191888,1503661611,39,14.6
51,28178123,1503661634,23,15.5
52,28191881,1503661637,3,15.1
53,28178116,1503661658,21,13
54,28191874,1503661670,12,13.4
55,28178109,1503661694,24,15.1
56,28191867,1503661695,1,14.6
57,28205632,1503661697,2,13.8
58,28191860,1503661714,17,15.1
59,28205625,1503661726,12,15.4
60,28219397,1503661737,11,12.6
61,28233176,1503661741,4,10.7
62,28219391,1503661763,22,12.6
63,28233169,1503661775,12,11.7
64,28246954,1503661778,3,10.8
65,28233162,1503661800,22,10.6
66,28219377,1503661813,13,11.8
67,28205599,1503661848,35,15.1
68,28219371,1503661856,8,14.2
69,28233149,1503661867,11,14.1
70,28246934,1503661876,9,13.9
71,28233142,1503661930,54,18.9
72,28246927,1503661937,7,17.4
73,28260719,1503661948,11,17.3
74,28274518,1503661953,5,17.5
75,28260713,1503661966,13,16.6
76,28274512,1503661971,5,15.8
77,28288317,1503661980,9,13.2
78,28302129,1503661983,3,12.7
