num, diff, time, interval, avg
3,27959006,1503668804,22,22
4,27945355,1503668823,19,20.5
5,27959000,1503668833,10,17
6,27945349,1503668851,18,17.25
7,27958994,1503668855,4,14.6
8,27945343,1503668883,28,16.833333333333332
9,27931698,1503668899,16,16.714285714285715
10,27918060,1503668925,26,17.875
11,27904429,1503668939,14,17.444444444444443
12,27918054,1503668940,1,15.8
13,27904423,1503668982,42,17.8
14,27890798,1503669020,38,19.7
15,27904416,1503669027,7,19.4
16,27918041,1503669030,3,17.9
17,27931672,1503669036,6,18.1
18,27945310,1503669044,8,16.1
19,27931665,1503669082,38,18.3
20,27918027,1503669097,15,17.2
21,27931658,1503669101,4,16.2
22,27945296,1503669105,4,16.5
23,27958941,1503669111,6,12.9
24,27945290,1503669137,26,11.7
25,27958935,1503669144,7,11.7
26,27972586,1503669153,9,12.3
27,27958928,1503669180,27,14.4
28,27945277,1503669193,13,14.9
29,27931632,1503669218,25,13.6
30,27917994,1503669265,47,16.8
31,27931625,1503669276,11,17.5
32,27917987,1503669295,19,19
33,27931618,1503669304,9,19.3
34,27945256,1503669313,9,17.6
35,27931611,1503669327,14,18.3
36,27945249,1503669331,4,17.8
37,27931604,1503669361,30,18.1
38,27945242,1503669365,4,17.2
39,27931597,1503669381,16,16.3
40,27917959,1503669412,31,14.7
41,27931590,1503669415,3,13.9
42,27945228,1503669417,2,12.2
43,27931583,1503669437,20,13.3
44,27945221,1503669447,10,13.4
45,27931576,1503669471,24,14.4
46,27945214,1503669478,7,14.7
47,27958859,1503669490,12,12.9
48,27945208,1503669506,16,14.1
49,27958853,1503669511,5,13
50,27945202,1503669532,21,12
51,27931557,1503669546,14,13.1
52,27917919,1503669578,32,16.1
53,27904288,1503669591,13,15.4
54,27917913,1503669592,1,14.5
55,27931544,1503669597,5,12.6
56,27945182,1503669606,9,12.8
57,27931537,1503669642,36,15.2
58,27945175,1503669651,9,14.5
59,27958820,1503669659,8,14.8
60,27972471,1503669661,2,12.9
61,27986129,1503669669,8,12.3
62,27999794,1503669676,7,9.8
63,27986123,1503669693,17,10.2
64,27999788,1503669703,10,11.1
65,28013459,1503669712,9,11.5
66,27999781,1503669727,15,12.1
67,28013452,1503669732,5,9
68,28027130,1503669740,8,8.9
69,28040815,1503669746,6,8.7
70,28054506,1503669757,11,9.6
71,28068204,1503669769,12,10
72,28054499,1503669802,33,12.6
73,28068197,1503669806,4,11.3
74,28054492,1503669836,30,13.3
75,28068190,1503669840,4,12.8
76,28081895,1503669844,4,11.7
77,28068184,1503669858,14,12.6
78,28081889,1503669863,5,12.3
79,28095600,1503669869,6,12.3
80,28109318,1503669872,3,11.5
81,28123043,1503669880,8,11.1
82,28109312,1503669929,49,12.7
83,28123037,1503669933,4,12.7
84,28109306,1503669954,21,11.8
85,28123031,1503669957,3,11.7
86,28109300,1503669985,28,14.1
87,28123025,1503669992,7,13.4
88,28136756,1503669993,1,13
89,28123018,1503670008,15,13.9
90,28109287,1503670031,23,15.9
91,28095562,1503670068,37,18.8
92,28081844,1503670098,30,16.9
93,28068133,1503670121,23,18.8
94,28081838,1503670127,6,17.3
95,28095549,1503670135,8,17.8
96,28109267,1503670147,12,16.2
97,28122992,1503670156,9,16.4
98,28109261,1503670201,45,20.8
99,28122986,1503670204,3,19.6
100,28109255,1503670217,13,18.6
101,28122980,1503670222,5,15.4
102,28109249,1503670236,14,13.8
103,28095524,1503670270,34,14.9
104,28081806,1503670320,50,19.3
105,28095517,1503670323,3,18.8
106,28081799,1503670338,15,19.1
107,28095510,1503670341,3,18.5
108,28109228,1503670348,7,14.7
109,28095503,1503670365,17,16.1
110,28109221,1503670366,1,14.9
111,28095496,1503670407,41,18.5
112,28109214,1503670415,8,17.9
113,28122939,1503670427,12,15.7
114,28136670,1503670437,10,11.7
115,28150408,1503670445,8,12.2
116,28164153,1503670449,4,11.1
117,28177905,1503670455,6,11.4
118,28164147,1503670472,17,12.4
119,28150395,1503670485,13,12
120,28164140,1503670492,7,12.6
121,28150388,1503670510,18,10.3
122,28136643,1503670570,60,15.5
123,28150381,1503670574,4,14.7
124,28164126,1503670578,4,14.1
125,28150374,1503670595,17,15
126,28164119,1503670599,4,15
127,28177871,1503670609,10,15.4
128,28191629,1503670618,9,14.6
129,28205394,1503670621,3,13.6
130,28219166,1503670626,5,13.4
131,28232944,1503670638,12,12.8
132,28246729,1503670642,4,7.2
133,28232937,1503670669,27,9.5
134,28219152,1503670704,35,12.6
135,28232930,1503670716,12,12.1
136,28246715,1503670723,7,12.4
137,28260507,1503670726,3,11.7
138,28274306,1503670731,5,11.3
139,28260501,1503670773,42,15.2
140,28246702,1503670832,59,20.6
141,28232910,1503670846,14,20.8
142,28219125,1503670912,66,27
143,28205347,1503670940,28,27.1
144,28219119,1503670943,3,23.9
145,28205341,1503670982,39,26.6
146,28191569,1503670999,17,27.6
147,28177804,1503671014,15,28.8
148,28164046,1503671036,22,30.5
149,28177797,1503671046,10,27.3
150,28191555,1503671050,4,21.8
151,28205320,1503671052,2,20.6
152,28219092,1503671063,11,15.1
153,28205314,1503671093,30,15.3
154,28219086,1503671097,4,15.4
155,28232864,1503671106,9,12.4
156,28246649,1503671117,11,11.8
157,28260441,1503671128,11,11.4
158,28274240,1503671131,3,9.5
159,28288045,1503671137,6,9.1
160,28301857,1503671141,4,9.1
161,28288038,1503671154,13,10.2
162,28301850,1503671156,2,9.3
163,28315669,1503671160,4,6.7
164,28301843,1503671180,20,8.3
165,28315662,1503671192,12,8.6
166,28301836,1503671219,27,10.2
167,28315655,1503671221,2,9.3
168,28329481,1503671230,9,9.9
169,28315649,1503671244,14,10.7
170,28329475,1503671247,3,10.6
171,28343307,1503671257,10,10.3
172,28329468,1503671276,19,12
173,28315636,1503671291,15,13.1
174,28329461,1503671301,10,12.1
175,28343293,1503671307,6,11.5
176,28357132,1503671312,5,9.3
177,28343286,1503671325,13,10.4
178,28329447,1503671342,17,11.2
179,28343279,1503671348,6,10.4
180,28329440,1503671376,28,12.9
181,28343272,1503671385,9,12.8
182,28357111,1503671397,12,12.1
183,28370957,1503671399,2,10.8
184,28384810,1503671404,5,10.3
185,28398669,1503671407,3,10
186,28412535,1503671417,10,10.5
187,28398662,1503671436,19,11.1
188,28412528,1503671440,4,9.8
189,28426401,1503671446,6,9.8
