num, diff, time, interval, avg
3,27986322,1503586004,11,11
4,27999987,1503586012,8,9.5
5,27986316,1503586030,18,12.333333333333334
6,27999981,1503586038,8,11.25
7,27986310,1503586057,19,12.8
8,27999975,1503586062,5,11.5
9,28013646,1503586074,12,11.571428571428571
10,27999968,1503586098,24,13.125
11,27986297,1503586173,75,20
12,27999962,1503586182,9,18.9
13,28013633,1503586192,10,18.8
14,28027311,1503586201,9,18.9
15,28040996,1503586208,7,17.8
16,28054687,1503586217,9,17.9
17,28040989,1503586250,33,19.3
18,28054680,1503586258,8,19.6
19,28040982,1503586272,14,19.8
20,28054673,1503586279,7,18.1
21,28068371,1503586289,10,11.6
22,28082076,1503586299,10,11.7
23,28095787,1503586306,7,11.4
24,28082069,1503586319,13,11.8
25,28095780,1503586322,3,11.4
26,28109498,1503586325,3,10.8
27,28095773,1503586354,29,10.4
28,28109491,1503586364,10,10.6
29,28123216,1503586371,7,9.9
30,28136948,1503586378,7,9.9
31,28150686,1503586381,3,9.2
32,28164431,1503586389,8,9
33,28178183,1503586397,8,9.1
34,28164425,1503586444,47,12.5
35,28150673,1503586470,26,14.8
36,28164418,1503586481,11,15.6
37,28178170,1503586490,9,13.6
38,28191928,1503586498,8,13.4
39,28205693,1503586502,4,13.1
40,28219465,1503586510,8,13.2
41,28233244,1503586520,10,13.9
42,28219459,1503586535,15,14.6
43,28233238,1503586544,9,14.7
44,28219453,1503586568,24,12.4
45,28205674,1503586582,14,11.2
46,28191902,1503586597,15,11.6
47,28205667,1503586604,7,11.4
48,28219439,1503586611,7,11.3
49,28233218,1503586616,5,11.4
50,28247003,1503586623,7,11.3
51,28260795,1503586629,6,10.9
52,28274594,1503586640,11,10.5
53,28288399,1503586650,10,10.6
54,28302211,1503586659,9,9.1
55,28316030,1503586671,12,8.9
56,28329856,1503586675,4,7.8
57,28343688,1503586679,4,7.5
58,28329849,1503586698,19,8.7
59,28316017,1503586723,25,10.7
60,28329843,1503586725,2,10.2
61,28343675,1503586728,3,9.9
62,28357514,1503586732,4,9.2
63,28343668,1503586757,25,10.7
64,28357507,1503586759,2,10
65,28371353,1503586766,7,9.5
66,28385206,1503586768,2,9.3
67,28399065,1503586780,12,10.1
68,28412931,1503586786,6,8.8
69,28399058,1503586806,20,8.3
70,28412924,1503586816,10,9.1
71,28426797,1503586819,3,9.1
72,28412917,1503586846,27,11.4
73,28426790,1503586849,3,9.2
74,28440670,1503586851,2,9.2
75,28454557,1503586856,5,9
76,28468450,1503586863,7,9.5
77,28454550,1503586882,19,10.2
78,28468443,1503586886,4,10
79,28482343,1503586895,9,8.9
80,28468436,1503586913,18,9.7
81,28482336,1503586917,4,9.8
82,28496243,1503586925,8,7.9
83,28510157,1503586930,5,8.1
84,28524077,1503586939,9,8.8
85,28510150,1503586978,39,12.2
86,28524070,1503586986,8,12.3
87,28510143,1503587005,19,12.3
88,28496223,1503587027,22,14.1
89,28482309,1503587046,19,15.1
90,28468402,1503587110,64,19.7
91,28454502,1503587132,22,21.5
92,28468395,1503587143,11,21.8
93,28454495,1503587163,20,23.3
94,28468388,1503587175,12,23.6
95,28454488,1503587196,21,21.8
96,28440595,1503587237,41,25.1
97,28454482,1503587238,1,23.3
98,28468375,1503587243,5,21.6
99,28482275,1503587247,4,20.1
100,28468368,1503587262,15,15.2
101,28454468,1503587314,52,18.2
102,28468361,1503587316,2,17.3
103,28482261,1503587320,4,15.7
104,28468354,1503587339,19,16.4
105,28482254,1503587344,5,14.8
106,28468347,1503587360,16,12.3
107,28454447,1503587399,39,16.1
108,28468340,1503587403,4,16
109,28454440,1503587425,22,17.8
110,28440547,1503587440,15,17.8
111,28454433,1503587444,4,13
112,28468326,1503587454,10,13.8
113,28482226,1503587466,12,14.6
114,28468319,1503587482,16,14.3
115,28482219,1503587494,12,15
116,28468312,1503587510,16,15
117,28482212,1503587513,3,11.4
118,28496119,1503587518,5,11.5
119,28482205,1503587552,34,12.7
120,28468298,1503587591,39,15.1
121,28454398,1503587608,17,16.4
122,28440505,1503587636,28,18.2
123,28454391,1503587644,8,17.8
124,28440498,1503587674,30,19.2
125,28426612,1503587687,13,19.3
126,28412732,1503587711,24,20.1
127,28426605,1503587719,8,20.6
128,28440485,1503587728,9,21
129,28426599,1503587742,14,19
130,28440479,1503587753,11,16.2
131,28426593,1503587767,14,15.9
132,28440473,1503587779,12,14.3
133,28426587,1503587795,16,15.1
134,28440467,1503587800,5,12.6
135,28454353,1503587810,10,12.3
136,28468246,1503587822,12,11.1
137,28482146,1503587825,3,10.6
138,28496053,1503587831,6,10.3
139,28482139,1503587866,35,12.4
140,28468232,1503587886,20,13.3
141,28482132,1503587892,6,12.5
142,28496039,1503587895,3,11.6
143,28509953,1503587900,5,10.5
144,28496033,1503587913,13,11.3
145,28509947,1503587918,5,10.8
146,28496027,1503587945,27,12.3
147,28509941,1503587949,4,12.4
148,28523861,1503587959,10,12.8
149,28509934,1503587986,27,12
150,28496014,1503588002,16,11.6
151,28482100,1503588034,32,14.2
152,28468193,1503588068,34,17.3
153,28454293,1503588085,17,18.5
154,28440400,1503588109,24,19.6
155,28426514,1503588144,35,22.6
156,28440394,1503588146,2,20.1
157,28426508,1503588169,23,22
158,28412628,1503588208,39,24.9
159,28398755,1503588277,69,29.1
160,28412621,1503588287,10,28.5
161,28426494,1503588298,11,26.4
162,28440374,1503588304,6,23.6
163,28454260,1503588311,7,22.6
164,28468153,1503588320,9,21.1
165,28482053,1503588322,2,17.8
166,28468146,1503588343,21,19.7
167,28482046,1503588351,8,18.2
168,28495953,1503588358,7,15
169,28509867,1503588364,6,8.7
170,28495947,1503588384,20,9.7
171,28509861,1503588389,5,9.1
172,28523781,1503588398,9,9.4
173,28537708,1503588410,12,9.9
174,28523774,1503588427,17,10.7
175,28537701,1503588431,4,10.9
176,28551635,1503588435,4,9.2
177,28537694,1503588448,13,9.7
178,28523760,1503588468,20,11
179,28509833,1503588491,23,12.7
180,28523753,1503588501,10,11.7
181,28537680,1503588510,9,12.1
182,28523746,1503588523,13,12.5
183,28537673,1503588529,6,11.9
184,28523739,1503588542,13,11.5
185,28537666,1503588552,10,12.1
186,28551600,1503588557,5,12.2
187,28537659,1503588580,23,13.2
188,28551593,1503588590,10,12.2
189,28565534,1503588598,8,10.7
190,28579482,1503588606,8,10.5
191,28565528,1503588634,28,12.4
192,28579476,1503588639,5,11.6
193,28565522,1503588652,13,12.3
194,28579470,1503588660,8,11.8
195,28565516,1503588702,42,15
196,28579464,1503588707,5,15
197,28593418,1503588710,3,13
198,28579457,1503588725,15,13.5
199,28593411,1503588729,4,13.1
200,28579450,1503588756,27,15
201,28593404,1503588763,7,12.9
202,28579443,1503588782,19,14.3
203,28593397,1503588789,7,13.7
204,28579436,1503588802,13,14.2
205,28593390,1503588803,1,10.1
206,28607351,1503588807,4,10
207,28621319,1503588812,5,10.2
208,28635294,1503588815,3,9
209,28621312,1503588847,32,11.8
210,28635287,1503588850,3,9.4
211,28621305,1503588888,38,12.5
212,28607330,1503588901,13,11.9
213,28621298,1503588909,8,12
214,28635273,1503588915,6,11.3
215,28649255,1503588923,8,12
216,28663243,1503588929,6,12.2
217,28649248,1503588949,20,13.7
218,28663236,1503588952,3,13.7
219,28677231,1503588963,11,11.6
220,28691233,1503588973,10,12.3
221,28677224,1503589005,32,11.7
222,28691226,1503589010,5,10.9
223,28705235,1503589016,6,10.7
224,28719251,1503589018,2,10.3
225,28733274,1503589021,3,9.8
226,28747303,1503589024,3,9.5
227,28733267,1503589038,14,8.9
228,28747296,1503589045,7,9.3
229,28733260,1503589061,16,9.8
230,28719231,1503589080,19,10.7
231,28733254,1503589091,11,8.6
232,28747283,1503589094,3,8.4
233,28733247,1503589122,28,10.6
234,28719218,1503589139,17,12.1
235,28705195,1503589171,32,15
236,28719211,1503589173,2,14.9
237,28733234,1503589181,8,14.3
238,28719205,1503589201,20,15.6
239,28705182,1503589288,87,22.7
240,28691166,1503589303,15,22.3
241,28677157,1503589330,27,23.9
242,28663155,1503589357,27,26.3
243,28649160,1503589409,52,28.7
244,28635172,1503589503,94,36.4
245,28621190,1503589519,16,34.8
246,28607215,1503589582,63,40.9
247,28621183,1503589585,3,40.4
248,28635158,1503589586,1,38.5
249,28621176,1503589658,72,37
250,28607201,1503589778,120,47.5
251,28621169,1503589782,4,45.2
252,28607194,1503589850,68,49.3
253,28593226,1503589903,53,49.4
254,28579265,1503589952,49,44.9
255,28565311,1503589976,24,45.7
256,28551364,1503589998,22,41.6
257,28565305,1503590001,3,41.6
258,28579252,1503590012,11,42.6
259,28565298,1503590058,46,40
260,28551351,1503590088,30,31
261,28537410,1503590174,86,39.2
262,28523476,1503590236,62,38.6
263,28509549,1503590287,51,38.4
264,28495629,1503590344,57,39.2
265,28481716,1503590408,64,43.2
266,28467809,1503590429,21,43.1
267,28453909,1503590527,98,52.6
268,28440016,1503590543,16,53.1
269,28426130,1503590558,15,50
270,28440009,1503590562,4,47.4
271,28426123,1503590655,93,48.1
272,28412244,1503590718,63,48.2
273,28426117,1503590726,8,43.9
274,28439996,1503590736,10,39.2
275,28426110,1503590785,49,37.7
276,28412231,1503590847,62,41.8
277,28398358,1503590896,49,36.9
278,28384492,1503590927,31,38.4
279,28370633,1503590947,20,38.9
280,28356781,1503590965,18,40.3
281,28370627,1503590976,11,32.1
282,28356775,1503591129,153,41.1
283,28342929,1503591168,39,44.2
284,28329090,1503591234,66,49.8
285,28315258,1503591296,62,51.1
286,28301433,1503591313,17,46.6
287,28315252,1503591317,4,42.1
288,28301427,1503591349,32,42.2
289,28287608,1503591410,61,46.3
290,28301420,1503591413,3,44.8
291,28315239,1503591420,7,44.4
292,28329064,1503591427,7,29.8
293,28315232,1503591442,15,27.4
294,28301407,1503591505,63,27.1
295,28287588,1503591636,131,34
296,28273776,1503591697,61,38.4
297,28287581,1503591700,3,38.3
298,28273769,1503591769,69,42
299,28259964,1503591796,27,38.6
300,28246166,1503591917,121,50.4
301,28232374,1503591996,79,57.6
302,28218589,1503592025,29,59.8
303,28204811,1503592074,49,63.2
304,28191040,1503592121,47,61.6
305,28177275,1503592149,28,51.3
306,28163517,1503592187,38,49
307,28177268,1503592194,7,49.4
308,28163510,1503592213,19,44.4
309,28149759,1503592319,106,52.3
310,28163503,1503592329,10,41.2
311,28177254,1503592339,10,34.3
312,28163496,1503592375,36,35
313,28149745,1503592462,87,38.8
314,28163489,1503592471,9,35
315,28149738,1503592514,43,36.5
316,28135994,1503592539,25,35.2
317,28122256,1503592552,13,35.8
318,28108525,1503592606,54,39.3
319,28094801,1503592631,25,31.2
320,28081083,1503592650,19,32.1
