num, diff, time, interval, avg
3,27986322,1499847991,6,6
4,27999987,1499847992,1,3.5
5,28013658,1499847995,3,3.3333333333333335
6,28027336,1499847999,4,3.5
7,28013651,1499848037,38,10.4
8,27999973,1499848070,33,14.166666666666666
9,27986302,1499848088,18,14.714285714285714
10,27972637,1499848104,16,14.875
11,27986295,1499848114,10,14.333333333333334
12,27972630,1499848130,16,14.5
13,27958972,1499848161,31,17
14,27972623,1499848163,2,17.1
15,27986281,1499848168,5,17.3
16,27972616,1499848221,53,22.2
17,27986274,1499848223,2,18.6
18,27999939,1499848227,4,15.7
19,27986268,1499848251,24,16.3
20,27999933,1499848258,7,15.4
21,28013604,1499848266,8,15.2
22,28027282,1499848268,2,13.8
23,28040967,1499848276,8,11.5
24,28027276,1499848289,13,12.6
25,28040961,1499848291,2,12.3
26,28027270,1499848311,20,9
27,28040955,1499848319,8,9.6
28,28027264,1499848428,109,20.1
29,28013579,1499848453,25,20.2
30,28027257,1499848455,2,19.7
31,28013572,1499848473,18,20.7
32,28027250,1499848475,2,20.7
33,28013565,1499848491,16,21.5
34,28027243,1499848502,11,21.3
35,28040928,1499848512,10,22.1
36,28054619,1499848521,9,21
37,28068317,1499848524,3,20.5
38,28082022,1499848532,8,10.4
39,28068311,1499848551,19,9.8
40,28082016,1499848553,2,9.8
41,28095727,1499848562,9,8.9
42,28109445,1499848567,5,9.2
43,28095720,1499848580,13,8.9
44,28082002,1499848598,18,9.6
45,28068291,1499848619,21,10.7
46,28081996,1499848627,8,10.6
47,28095707,1499848634,7,11
48,28109425,1499848643,9,11.1
49,28123150,1499848650,7,9.9
50,28109418,1499848670,20,11.7
51,28095693,1499848688,18,12.6
52,28081975,1499848707,19,14
53,28095686,1499848713,6,13.3
54,28081968,1499848726,13,12.8
55,28068257,1499848749,23,13
56,28054552,1499848770,21,14.3
57,28068250,1499848778,8,14.4
58,28054545,1499848803,25,16
59,28040847,1499848818,15,16.8
60,28054538,1499848825,7,15.5
61,28040840,1499848842,17,15.4
62,28054531,1499848851,9,14.4
63,28040833,1499848879,28,16.6
64,28054524,1499848884,5,15.8
65,28068222,1499848886,2,13.7
66,28054517,1499848906,20,13.6
67,28040819,1499848928,22,15
68,28054510,1499848932,4,12.9
69,28068208,1499848937,5,11.9
70,28054503,1499848955,18,13
71,28040805,1499848980,25,13.8
72,28027114,1499848994,14,14.3
73,28040799,1499848996,2,11.7
74,28054490,1499849001,5,11.7
75,28040792,1499849021,20,13.5
76,28027101,1499849070,49,16.4
77,28013416,1499849090,20,16.2
78,27999738,1499849111,21,17.9
79,27986067,1499849146,35,20.9
80,27972402,1499849164,18,20.9
81,27986060,1499849167,3,18.7
82,27999725,1499849171,4,17.7
83,27986054,1499849184,13,18.8
84,27972389,1499849197,13,19.6
85,27958731,1499849212,15,19.1
86,27945080,1499849227,15,15.7
87,27931435,1499849240,13,15
88,27945073,1499849251,11,14
89,27958718,1499849256,5,11
90,27972369,1499849262,6,9.8
91,27986027,1499849266,4,9.9
92,27972362,1499849283,17,11.2
93,27958704,1499849299,16,11.5
94,27972355,1499849310,11,11.3
95,27986013,1499849314,4,10.2
96,27972348,1499849328,14,10.1
97,27958690,1499849346,18,10.6
98,27972341,1499849356,10,10.5
99,27958683,1499849399,43,14.3
100,27972334,1499849410,11,14.8
101,27958676,1499849430,20,16.4
102,27972327,1499849436,6,15.3
103,27985985,1499849440,4,14.1
104,27999650,1499849448,8,13.8
105,28013321,1499849459,11,14.5
106,28026999,1499849464,5,13.6
107,28040684,1499849468,4,12.2
108,28054375,1499849474,6,11.8
109,28068073,1499849477,3,7.8
110,28081778,1499849483,6,7.3
111,28068067,1499849512,29,8.2
112,28081772,1499849522,10,8.6
113,28095483,1499849529,7,8.9
114,28109201,1499849535,6,8.7
115,28122926,1499849544,9,8.5
116,28109195,1499849575,31,11.1
117,28095470,1499849593,18,12.5
118,28081752,1499849607,14,13.3
119,28095463,1499849609,2,13.2
120,28109181,1499849614,5,13.1
121,28122906,1499849621,7,10.9
122,28136637,1499849625,4,10.3
123,28122899,1499849639,14,11
124,28109168,1499849664,25,12.9
125,28095443,1499849679,15,13.5
126,28081725,1499849695,16,12
127,28095436,1499849701,6,10.8
128,28081718,1499849724,23,11.7
129,28068007,1499849742,18,13.3
130,28054302,1499849755,13,14.1
131,28068000,1499849761,6,14
132,28081705,1499849772,11,14.7
133,28095416,1499849780,8,14.1
134,28109134,1499849783,3,11.9
135,28122859,1499849787,4,10.8
136,28136590,1499849792,5,9.7
137,28150328,1499849795,3,9.4
138,28164073,1499849800,5,7.6
139,28177824,1499849811,11,6.9
140,28164066,1499849836,25,8.1
141,28177817,1499849843,7,8.2
142,28191575,1499849849,6,7.7
143,28205340,1499849860,11,8
144,28219112,1499849864,4,8.1
145,28232890,1499849868,4,8.1
146,28246675,1499849878,10,8.6
147,28260467,1499849885,7,9
148,28246668,1499849929,44,12.9
149,28232876,1499849948,19,13.7
150,28219091,1499849999,51,16.3
151,28232869,1499850004,5,16.1
152,28219084,1499850021,17,17.2
153,28205306,1499850043,22,18.3
154,28219078,1499850048,5,18.4
155,28232856,1499850053,5,18.5
156,28246641,1499850063,10,18.5
157,28260433,1499850068,5,18.3
158,28246634,1499850085,17,15.6
159,28260426,1499850094,9,14.6
160,28246627,1499850114,20,11.5
161,28232835,1499850159,45,15.5
162,28219050,1499850177,18,15.6
163,28232828,1499850188,11,14.5
164,28219043,1499850210,22,16.2
165,28205265,1499850227,17,17.4
166,28219037,1499850234,7,17.1
167,28205259,1499850247,13,17.9
168,28191487,1499850289,42,20.4
169,28177722,1499850319,30,22.5
170,28163964,1499850344,25,23
171,28150213,1499850378,34,21.9
172,28163958,1499850381,3,20.4
173,28177709,1499850387,6,19.9
174,28191467,1499850392,5,18.2
175,28205232,1499850394,2,16.7
176,28191460,1499850426,32,19.2
177,28177695,1499850449,23,20.2
178,28191453,1499850454,5,16.5
179,28177688,1499850473,19,15.4
180,28191446,1499850478,5,13.4
181,28205211,1499850488,10,11
182,28218983,1499850495,7,11.4
183,28205205,1499850511,16,12.4
184,28191433,1499850532,21,14
185,28177668,1499850556,24,16.2
186,28163910,1499850571,15,14.5
187,28150159,1499850586,15,13.7
188,28163904,1499850591,5,13.7
189,28150153,1499850616,25,14.3
190,28163898,1499850623,7,14.5
191,28150147,1499850691,68,20.3
192,28136402,1499850706,15,21.1
193,28122664,1499850732,26,22.1
194,28136395,1499850733,1,20.1
195,28150133,1499850736,3,18
196,28163878,1499850747,11,17.6
197,28177629,1499850754,7,16.8
198,28163871,1499850796,42,20.5
199,28177622,1499850802,6,18.6
200,28191380,1499850806,4,18.3
201,28205145,1499850816,10,12.5
202,28218917,1499850821,5,11.5
203,28232695,1499850831,10,9.9
204,28246480,1499850839,8,10.6
205,28260272,1499850847,8,11.1
206,28274070,1499850856,9,10.9
207,28287875,1499850862,6,10.8
208,28274063,1499850890,28,9.4
209,28287868,1499850897,7,9.5
210,28274056,1499850914,17,10.8
211,28260251,1499850929,15,11.3
212,28274049,1499850930,1,10.9
213,28287854,1499850939,9,10.8
214,28301666,1499850942,3,10.3
215,28315485,1499850946,4,9.9
216,28329310,1499850949,3,9.3
217,28315478,1499850999,50,13.7
218,28329303,1499851007,8,11.7
219,28315471,1499851021,14,12.4
220,28301646,1499851045,24,13.1
221,28287827,1499851071,26,14.2
222,28274015,1499851098,27,16.8
223,28260210,1499851120,22,18.1
224,28274008,1499851128,8,18.6
225,28287813,1499851139,11,19.3
226,28301625,1499851147,8,19.8
