num, diff, time, interval, avg
3,27959006,1499778382,83,83
4,27945355,1499778413,31,57
5,27931710,1499778436,23,45.666666666666664
6,27918072,1499778477,41,44.5
7,27904441,1499778506,29,41.4
8,27890816,1499778536,30,39.5
9,27904434,1499778543,7,34.857142857142854
10,27890809,1499778556,13,32.125
11,27904427,1499778559,3,28.88888888888889
12,27918052,1499778563,4,26.4
13,27931683,1499778573,10,19.1
14,27918045,1499778586,13,17.3
15,27931676,1499778594,8,15.8
16,27945314,1499778601,7,12.4
17,27958959,1499778602,1,9.6
18,27945308,1499778618,16,8.2
19,27931663,1499778653,35,11
20,27918025,1499778673,20,11.7
21,27904394,1499778708,35,14.9
22,27890769,1499778790,82,22.7
23,27877151,1499778811,21,23.8
24,27890762,1499778814,3,22.8
25,27904380,1499778817,3,22.3
26,27890755,1499778837,20,23.6
27,27904373,1499778843,6,24.1
28,27917998,1499778844,1,22.6
29,27931629,1499778847,3,19.4
30,27917991,1499778864,17,19.1
31,27931622,1499778869,5,16.1
32,27917984,1499778899,30,10.9
33,27904353,1499778912,13,10.1
34,27917978,1499778916,4,10.2
35,27904347,1499778932,16,11.5
36,27917972,1499778941,9,10.4
37,27931603,1499778944,3,10.1
38,27945241,1499778951,7,10.7
39,27931596,1499778972,21,12.5
40,27945234,1499778981,9,11.7
41,27958879,1499778989,8,12
42,27972530,1499778991,2,9.2
43,27986188,1499778994,3,8.2
44,27999853,1499779001,7,8.5
45,27986182,1499779021,20,8.9
46,27999847,1499779022,1,8.1
47,28013518,1499779033,11,8.9
48,28027196,1499779040,7,8.9
49,28040881,1499779044,4,7.2
50,28027190,1499779098,54,11.7
51,28040875,1499779100,2,11.1
52,28027184,1499779113,13,12.2
53,28013499,1499779127,14,13.3
54,27999821,1499779142,15,14.1
55,28013492,1499779145,3,12.4
56,28027170,1499779150,5,12.8
57,28013485,1499779175,25,14.2
58,27999807,1499779194,19,15.4
59,28013478,1499779203,9,15.9
60,27999800,1499779226,23,12.8
61,28013471,1499779237,11,13.7
62,27999793,1499779309,72,19.6
63,28013464,1499779312,3,18.5
64,28027142,1499779313,1,17.1
65,28013457,1499779338,25,19.3
66,28027135,1499779341,3,19.1
67,28040820,1499779351,10,17.6
68,28027129,1499779379,28,18.5
69,28040814,1499779383,4,18
70,28054505,1499779388,5,16.2
71,28068203,1499779395,7,15.8
72,28054498,1499779417,22,10.8
73,28040800,1499779433,16,12.1
74,28027109,1499779461,28,14.8
75,28040794,1499779468,7,13
76,28054485,1499779475,7,13.4
77,28040787,1499779488,13,13.7
78,28027096,1499779507,19,12.8
79,28040781,1499779514,7,13.1
80,28054472,1499779523,9,13.5
81,28068170,1499779527,4,13.2
82,28054465,1499779543,16,12.6
83,28040767,1499779567,24,13.4
84,28027076,1499779584,17,12.3
85,28040761,1499779592,8,12.4
86,28027070,1499779605,13,13
87,28040755,1499779614,9,12.6
88,28027064,1499779634,20,12.7
89,28040749,1499779641,7,12.7
90,28054440,1499779645,4,12.2
91,28068138,1499779650,5,12.3
92,28081843,1499779660,10,11.7
93,28068132,1499779673,13,10.6
94,28054427,1499779710,37,12.6
95,28040729,1499779744,34,15.2
96,28027038,1499779762,18,15.7
97,28040723,1499779765,3,15.1
98,28027032,1499779782,17,14.8
99,28040717,1499779794,12,15.3
100,28054408,1499779804,10,15.9
101,28068106,1499779806,2,15.6
102,28081811,1499779813,7,15.3
103,28095522,1499779822,9,14.9
104,28109240,1499779832,10,12.2
105,28095515,1499779850,18,10.6
106,28081797,1499779891,41,12.9
107,28095508,1499779894,3,12.9
108,28109226,1499779900,6,11.8
109,28095501,1499779916,16,12.2
110,28081783,1499779947,31,14.3
111,28095494,1499779950,3,14.4
112,28081776,1499779970,20,15.7
113,28095487,1499779978,8,15.6
114,28081769,1499780011,33,17.9
115,28095480,1499780014,3,16.4
116,28109198,1499780018,4,12.7
117,28095473,1499780044,26,15
118,28109191,1499780045,1,14.5
119,28122916,1499780051,6,13.5
120,28109185,1499780066,15,11.9
121,28122910,1499780078,12,12.8
122,28136641,1499780085,7,11.5
123,28122903,1499780115,30,13.7
124,28109172,1499780152,37,14.1
125,28095447,1499780187,35,17.3
126,28081729,1499780216,29,19.8
127,28068018,1499780237,21,19.3
128,28054313,1499780252,15,20.7
129,28068011,1499780258,6,20.7
130,28054306,1499780304,46,23.8
131,28068004,1499780309,5,23.1
132,28054299,1499780328,19,24.3
133,28067997,1499780334,6,21.9
134,28054292,1499780349,15,19.7
135,28067990,1499780351,2,16.4
136,28081695,1499780356,5,14
137,28095406,1499780358,2,12.1
138,28109124,1499780362,4,11
139,28095399,1499780396,34,13.8
140,28109117,1499780400,4,9.6
141,28122842,1499780403,3,9.4
142,28109111,1499780421,18,9.3
143,28095386,1499780442,21,10.8
144,28081668,1499780472,30,12.3
145,28095379,1499780476,4,12.5
146,28081661,1499780506,30,15
147,28067950,1499780557,51,19.9
148,28054245,1499780576,19,21.4
149,28067943,1499780585,9,18.9
150,28054238,1499780599,14,19.9
151,28040540,1499780647,48,24.4
152,28054231,1499780657,10,23.6
153,28040533,1499780677,20,23.5
154,28054224,1499780684,7,21.2
155,28067922,1499780687,3,21.1
156,28081627,1499780690,3,18.4
157,28095338,1499780702,12,14.5
158,28081620,1499780749,47,17.3
159,28067909,1499780765,16,18
160,28081614,1499780770,5,17.1
161,28067903,1499780795,25,14.8
162,28081608,1499780799,4,14.2
163,28067897,1499780821,22,14.4
164,28081602,1499780824,3,14
165,28067891,1499780837,13,15
166,28054186,1499780850,13,16
167,28067884,1499780857,7,15.5
168,28054179,1499780893,36,14.4
169,28040481,1499780909,16,14.4
170,28054172,1499780920,11,15
171,28067870,1499780931,11,13.6
172,28054165,1499780948,17,14.9
173,28040467,1499780967,19,14.6
174,28054158,1499780976,9,15.2
175,28067856,1499780981,5,14.4
176,28081561,1499780989,8,13.9
177,28095272,1499780996,7,13.9
178,28108990,1499781004,8,11.1
179,28095265,1499781041,37,13.2
180,28081547,1499781057,16,13.7
181,28095258,1499781058,1,12.7
182,28081540,1499781090,32,14.2
183,28095251,1499781099,9,13.2
184,28108969,1499781102,3,12.6
185,28122694,1499781105,3,12.4
186,28136425,1499781108,3,11.9
187,28150163,1499781115,7,11.9
188,28163908,1499781120,5,11.6
189,28150157,1499781164,44,12.3
190,28163902,1499781166,2,10.9
191,28177653,1499781175,9,11.7
192,28163895,1499781194,19,10.4
193,28150144,1499781208,14,10.9
194,28136399,1499781225,17,12.3
195,28122661,1499781239,14,13.4
196,28108930,1499781254,15,14.6
197,28122655,1499781260,6,14.5
198,28108924,1499781274,14,15.4
199,28095199,1499781297,23,13.3
200,28108917,1499781307,10,14.1
201,28122642,1499781311,4,13.6
202,28108911,1499781332,21,13.8
203,28122636,1499781341,9,13.3
204,28136367,1499781344,3,11.9
205,28150105,1499781353,9,11.4
206,28163850,1499781355,2,10.1
207,28177601,1499781359,4,9.9
208,28191359,1499781363,4,8.9
209,28177594,1499781386,23,8.9
210,28191352,1499781395,9,8.8
211,28205117,1499781405,10,9.4
212,28191345,1499781420,15,8.8
213,28205110,1499781427,7,8.6
214,28218882,1499781431,4,8.7
215,28232660,1499781434,3,8.1
216,28246445,1499781440,6,8.5
217,28232653,1499781469,29,11
218,28218868,1499781482,13,11.9
219,28205090,1499781560,78,17.4
220,28191318,1499781574,14,17.9
221,28205083,1499781583,9,17.8
222,28191311,1499781604,21,18.4
223,28205076,1499781611,7,18.4
224,28218848,1499781616,5,18.5
225,28232626,1499781624,8,19
226,28246411,1499781628,4,18.8
227,28260203,1499781638,10,16.9
228,28274001,1499781645,7,16.3
229,28287806,1499781654,9,9.4
230,28301618,1499781656,2,8.2
231,28315437,1499781664,8,8.1
232,28301612,1499781682,18,7.8
233,28315431,1499781690,8,7.9
234,28301606,1499781773,83,15.7
235,28287787,1499781825,52,20.1
236,28273975,1499781907,82,27.9
237,28260170,1499782033,126,39.5
238,28246372,1499782259,226,61.4
239,28232580,1499782288,29,63.4
240,28218795,1499782462,174,80.6
241,28232573,1499782472,10,80.8
242,28218788,1499782614,142,93.2
243,28205010,1499782769,155,107.9
244,28191239,1499782865,96,109.2
245,28177474,1499782924,59,109.9
246,28163716,1499782953,29,104.6
247,28149965,1499783368,415,133.5
248,28136220,1499783624,256,136.5
249,28149958,1499783631,7,134.3
250,28136213,1499783897,266,143.5
251,28122475,1499784147,250,167.5
252,28108744,1499784161,14,154.7
253,28122468,1499784168,7,139.9
254,28108737,1499784223,55,135.8
255,28095013,1499784321,98,139.7
256,28081295,1499784571,250,161.8
257,28067584,1499784731,160,136.3
258,28081288,1499784735,4,111.1
259,28067577,1499784758,23,112.7
