num, diff, time, interval, avg
3,27959006,1499864623,89,89
4,27972657,1499864630,7,48
5,27986315,1499864641,11,35.666666666666664
6,27999980,1499864647,6,28.25
7,27986309,1499864690,43,31.2
8,27999974,1499864699,9,27.5
9,27986303,1499864722,23,26.857142857142858
10,27999968,1499864731,9,24.625
11,28013639,1499864734,3,22.22222222222222
12,27999961,1499864773,39,23.9
13,28013632,1499864781,8,15.8
14,27999954,1499864796,15,16.6
15,27986283,1499864816,20,17.5
16,27999948,1499864828,12,18.1
17,28013619,1499864836,8,14.6
18,27999941,1499864854,18,15.5
19,28013612,1499864862,8,14
20,28027290,1499864867,5,13.6
21,28040975,1499864869,2,13.5
22,28027284,1499864882,13,10.9
23,28013599,1499864895,13,11.4
24,27999921,1499864927,32,13.1
25,28013592,1499864933,6,11.7
26,28027270,1499864938,5,11
27,28040955,1499864950,12,11.4
28,28054646,1499864959,9,10.5
29,28040948,1499864994,35,13.2
30,28054639,1499864998,4,13.1
31,28068337,1499865006,8,13.7
32,28054632,1499865042,36,16
33,28040934,1499865063,21,16.8
34,28054625,1499865068,5,14.1
35,28068323,1499865073,5,14
36,28054618,1499865097,24,15.9
37,28068316,1499865106,9,15.6
38,28082021,1499865109,3,15
39,28095732,1499865121,12,12.7
40,28109450,1499865130,9,13.2
41,28123175,1499865135,5,12.9
42,28109443,1499865160,25,11.8
43,28095718,1499865177,17,11.4
44,28109436,1499865181,4,11.3
45,28123161,1499865187,6,11.4
46,28109429,1499865209,22,11.2
47,28095704,1499865224,15,11.8
48,28109422,1499865232,8,12.3
49,28123147,1499865238,6,11.7
50,28109415,1499865267,29,13.7
51,28123140,1499865271,4,13.6
52,28136872,1499865277,6,11.7
53,28150610,1499865279,2,10.2
54,28136865,1499865324,45,14.3
55,28150603,1499865327,3,14
56,28164348,1499865332,5,12.3
57,28150596,1499865366,34,14.2
58,28136851,1499865418,52,18.6
59,28150589,1499865424,6,18.6
60,28164334,1499865435,11,16.8
61,28150582,1499865484,49,21.3
62,28136837,1499865513,29,23.6
63,28123099,1499865530,17,25.1
64,28109368,1499865545,15,22.1
65,28123093,1499865554,9,22.7
66,28136824,1499865561,7,22.9
67,28150562,1499865567,6,20.1
68,28136817,1499865582,15,16.4
69,28150555,1499865584,2,16
70,28164300,1499865590,6,15.5
71,28178052,1499865594,4,11
72,28191810,1499865600,6,8.7
73,28178045,1499865617,17,8.7
74,28164287,1499865666,49,12.1
75,28178039,1499865673,7,11.9
76,28164281,1499865688,15,12.7
77,28150529,1499865702,14,13.5
78,28164274,1499865706,4,12.4
79,28150522,1499865736,30,15.2
80,28136777,1499865750,14,16
81,28150515,1499865752,2,15.8
82,28136770,1499865781,29,18.1
83,28150508,1499865792,11,17.5
84,28164253,1499865797,5,13.1
85,28178005,1499865803,6,13
86,28164247,1499865822,19,13.4
87,28150495,1499865851,29,14.9
88,28136750,1499865864,13,15.8
89,28150488,1499865870,6,13.4
90,28164233,1499865876,6,12.6
91,28177985,1499865888,12,13.6
92,28164227,1499865908,20,12.7
93,28150475,1499865935,27,14.3
94,28164220,1499865942,7,14.5
95,28177972,1499865950,8,14.7
96,28191730,1499865957,7,13.5
97,28177965,1499865972,15,12.1
98,28164207,1499865987,15,12.3
99,28150455,1499866003,16,13.3
100,28164200,1499866007,4,13.1
101,28150448,1499866022,15,13.4
102,28136703,1499866045,23,13.7
103,28150441,1499866056,11,12.1
104,28136696,1499866071,15,12.9
105,28150434,1499866079,8,12.9
106,28164179,1499866083,4,12.6
107,28177931,1499866094,11,12.2
108,28191689,1499866098,4,11.1
109,28205454,1499866107,9,10.4
110,28191682,1499866152,45,14.5
111,28177917,1499866171,19,14.9
112,28191675,1499866177,6,13.2
