num, diff, time, interval, avg
3,27959006,1499856611,25,25
4,27945355,1499856649,38,31.5
5,27931710,1499856692,43,35.333333333333336
6,27945348,1499856694,2,27
7,27931703,1499856718,24,26.4
8,27918065,1499856731,13,24.166666666666668
9,27904434,1499856755,24,24.142857142857142
10,27890809,1499856772,17,23.25
11,27877191,1499856807,35,24.555555555555557
12,27863580,1499856866,59,28
13,27877185,1499856870,4,25.9
14,27890796,1499856880,10,23.1
15,27877178,1499856899,19,20.7
16,27863567,1499856913,14,21.9
17,27877172,1499856916,3,19.8
18,27863561,1499856948,32,21.7
19,27877166,1499856956,8,20.1
20,27890777,1499856964,8,19.2
21,27877159,1499856983,19,17.6
22,27863548,1499857001,18,13.5
23,27877153,1499857006,5,13.6
24,27863542,1499857027,21,14.7
25,27849937,1499857070,43,17.1
26,27863535,1499857082,12,16.9
27,27849930,1499857096,14,18
28,27836332,1499857126,30,17.8
29,27849923,1499857130,4,17.4
30,27836325,1499857153,23,18.9
31,27849916,1499857157,4,17.4
32,27863514,1499857162,5,16.1
33,27877119,1499857174,12,16.8
34,27890730,1499857181,7,15.4
35,27877112,1499857209,28,13.9
36,27863501,1499857223,14,14.1
37,27877106,1499857226,3,13
38,27863495,1499857246,20,12
39,27877100,1499857257,11,12.7
40,27863489,1499857275,18,12.2
41,27877094,1499857277,2,12
42,27890705,1499857289,12,12.7
43,27904323,1499857296,7,12.2
44,27917948,1499857300,4,11.9
45,27904317,1499857353,53,14.4
46,27917942,1499857356,3,13.3
47,27931573,1499857366,10,14
48,27945211,1499857371,5,12.5
49,27931566,1499857409,38,15.2
50,27945204,1499857415,6,14
51,27958849,1499857426,11,14.9
52,27972500,1499857431,5,14.2
53,27958842,1499857456,25,16
54,27945191,1499857491,35,19.1
55,27958836,1499857494,3,14.1
56,27972487,1499857506,12,15
57,27986145,1499857512,6,14.6
58,27999810,1499857521,9,15
59,28013481,1499857527,6,11.8
60,27999803,1499857548,21,13.3
61,28013474,1499857559,11,13.3
62,28027152,1499857563,4,13.2
63,28040837,1499857567,4,11.1
64,28027146,1499857593,26,10.2
65,28013461,1499857609,16,11.5
66,27999783,1499857633,24,12.7
67,27986112,1499857670,37,15.8
68,27999777,1499857673,3,15.2
69,27986106,1499857687,14,16
70,27972441,1499857711,24,16.3
71,27986099,1499857715,4,15.6
72,27999764,1499857719,4,15.6
73,27986093,1499857757,38,19
74,27972428,1499857771,14,17.8
75,27958770,1499857795,24,18.6
76,27972421,1499857807,12,17.4
77,27986079,1499857810,3,14
78,27999744,1499857817,7,14.4
79,28013415,1499857823,6,13.6
80,28027093,1499857832,9,12.1
81,28013408,1499857851,19,13.6
82,27999730,1499857867,16,14.8
83,27986059,1499857891,24,13.4
84,27999724,1499857897,6,12.6
85,27986053,1499857930,33,13.5
86,27972388,1499857971,41,16.4
87,27986046,1499857979,8,16.9
88,27972381,1499858022,43,20.5
89,27986039,1499858033,11,21
90,27999704,1499858044,11,21.2
91,28013375,1499858051,7,20
92,28027053,1499858059,8,19.2
93,28040738,1499858063,4,17.2
94,28054429,1499858069,6,17.2
95,28040731,1499858088,19,15.8
96,28027040,1499858110,22,13.9
97,28040725,1499858120,10,14.1
98,28054416,1499858124,4,10.2
99,28040718,1499858174,50,14.1
100,28027027,1499858197,23,15.3
101,28040712,1499858200,3,14.9
102,28054403,1499858212,12,15.3
103,28068101,1499858216,4,15.3
104,28054396,1499858235,19,16.6
105,28040698,1499858255,20,16.7
106,28054389,1499858257,2,14.7
107,28040691,1499858270,13,15
108,28027000,1499858284,14,16
109,28013315,1499858322,38,14.8
110,28026993,1499858331,9,13.4
111,28013308,1499858347,16,14.7
