num, diff, time, interval, avg
3,27959006,1499951004,79,79
4,27972657,1499951008,4,41.5
5,27958999,1499951036,28,37
6,27972650,1499951044,8,29.75
7,27986308,1499951050,6,25
8,27999973,1499951052,2,21.166666666666668
9,27986302,1499951085,33,22.857142857142858
10,27972637,1499951152,67,28.375
11,27986295,1499951159,7,26
12,27999960,1499951160,1,23.5
13,27986289,1499951174,14,17
14,27972624,1499951204,30,19.6
15,27958966,1499951222,18,18.6
16,27972617,1499951231,9,18.7
17,27986275,1499951233,2,18.3
18,27999940,1499951237,4,18.5
19,27986269,1499951261,24,17.6
20,27999934,1499951269,8,11.7
21,27986263,1499951307,38,14.8
22,27999928,1499951311,4,15.1
23,28013599,1499951319,8,14.5
24,28027277,1499951329,10,12.5
25,28040962,1499951336,7,11.4
26,28054653,1499951340,4,10.9
27,28040955,1499951355,15,12.2
28,28027264,1499951374,19,13.7
29,28040949,1499951386,12,12.5
30,28054640,1499951396,10,12.7
31,28068338,1499951402,6,9.5
32,28082043,1499951408,6,9.7
33,28095754,1499951413,5,9.4
34,28109472,1499951419,6,9
35,28095747,1499951446,27,11
36,28109465,1499951449,3,10.9
37,28123190,1499951454,5,9.9
38,28136922,1499951463,9,8.9
39,28123184,1499951477,14,9.1
40,28109452,1499951490,13,9.4
41,28123177,1499951501,11,9.9
42,28109445,1499951519,18,11.1
43,28095720,1499951577,58,16.4
44,28082002,1499951619,42,20
45,28068291,1499951632,13,18.6
46,28081996,1499951643,11,19.4
47,28095707,1499951648,5,19.4
48,28109425,1499951654,6,19.1
49,28095700,1499951677,23,20
50,28109418,1499951685,8,19.5
51,28095693,1499951709,24,20.8
52,28109411,1499951716,7,19.7
53,28123136,1499951721,5,14.4
54,28136868,1499951722,1,10.3
55,28123130,1499951739,17,10.7
56,28109399,1499951757,18,11.4
57,28123124,1499951766,9,11.8
58,28136855,1499951775,9,12.1
59,28150593,1499951781,6,10.4
60,28136848,1499951818,37,13.3
61,28150586,1499951827,9,11.8
62,28136841,1499951849,22,13.3
63,28150579,1499951851,2,13
64,28164324,1499951853,2,13.1
65,28150572,1499951872,19,13.3
66,28164317,1499951881,9,12.4
67,28178069,1499951886,5,12
68,28191827,1499951889,3,11.4
69,28205592,1499951901,12,12
70,28191820,1499951916,15,9.8
71,28205585,1499951922,6,9.5
72,28191813,1499951935,13,8.6
73,28205578,1499951938,3,8.7
74,28191806,1499951959,21,10.6
75,28205571,1499951970,11,9.8
76,28219343,1499951975,5,9.4
77,28233121,1499951983,8,9.7
78,28246906,1499951991,8,10.2
79,28260698,1499951997,6,9.6
80,28246899,1499952021,24,10.5
81,28233107,1499952052,31,13
82,28246892,1499952058,6,12.3
83,28260684,1499952061,3,12.3
84,28246885,1499952074,13,11.5
85,28260677,1499952086,12,11.6
86,28274476,1499952090,4,11.5
87,28288281,1499952095,5,11.2
88,28302093,1499952106,11,11.5
89,28288274,1499952136,30,13.9
90,28302086,1499952145,9,12.4
91,28315905,1499952154,9,10.2
92,28329731,1499952158,4,10
93,28343563,1499952169,11,10.8
94,28357402,1499952181,12,10.7
95,28371248,1499952186,5,10
96,28385101,1499952194,8,10.4
97,28371242,1499952209,15,11.4
98,28385095,1499952211,2,10.5
99,28398954,1499952223,12,8.7
100,28385088,1499952250,27,10.5
101,28371229,1499952274,24,12
102,28385082,1499952283,9,12.5
103,28398941,1499952288,5,11.9
104,28385075,1499952324,36,14.3
105,28398934,1499952325,1,13.9
106,28412800,1499952329,4,13.5
107,28426673,1499952332,3,12.3
108,28440553,1499952343,11,13.2
109,28426667,1499952364,21,14.1
110,28440547,1499952368,4,11.8
111,28454433,1499952375,7,10.1
112,28468326,1499952384,9,10.1
113,28482226,1499952393,9,10.5
114,28496133,1499952403,10,7.9
115,28482219,1499952417,14,9.2
116,28496126,1499952420,3,9.1
117,28482212,1499952437,17,10.5
118,28496119,1499952444,7,10.1
119,28510033,1499952450,6,8.6
120,28523953,1499952454,4,8.6
121,28537880,1499952461,7,8.6
122,28551814,1499952473,12,8.9
123,28565755,1499952477,4,8.4
124,28579703,1499952484,7,8.1
125,28593657,1499952487,3,7
126,28607618,1499952493,6,7.3
127,28593650,1499952529,36,9.2
128,28579689,1499952565,36,12.1
129,28593643,1499952575,10,12.5
130,28579682,1499952611,36,15.7
131,28593636,1499952622,11,16.1
132,28607597,1499952626,4,15.3
133,28593629,1499952656,30,17.9
134,28579668,1499952677,21,19.3
135,28593622,1499952680,3,19.3
136,28579661,1499952707,27,21.4
137,28565707,1499952734,27,20.5
138,28579655,1499952742,8,17.7
139,28593609,1499952753,11,17.8
140,28579648,1499952772,19,16.1
141,28565694,1499952794,22,17.2
142,28579642,1499952797,3,17.1
143,28565688,1499952835,38,17.9
144,28579636,1499952841,6,16.4
145,28593590,1499952851,10,17.1
146,28579629,1499952865,14,15.8
147,28565675,1499952885,20,15.1
148,28579623,1499952896,11,15.4
149,28565669,1499952911,15,15.8
150,28579617,1499952916,5,14.4
151,28593571,1499952921,5,12.7
152,28579610,1499952942,21,14.5
153,28565656,1499952955,13,12
154,28551708,1499952968,13,12.7
155,28537767,1499952996,28,14.5
156,28551701,1499953008,12,14.3
157,28565642,1499953018,10,13.3
158,28579590,1499953022,4,12.6
159,28565636,1499953044,22,13.3
160,28579584,1499953046,2,13
161,28565630,1499953077,31,15.6
162,28579578,1499953083,6,14.1
163,28565624,1499953106,23,15.1
164,28551676,1499953128,22,16
165,28565617,1499953134,6,13.8
166,28551669,1499953220,86,21.2
167,28565610,1499953226,6,20.8
168,28579558,1499953234,8,21.2
169,28565604,1499953250,16,20.6
170,28551656,1499953302,52,25.6
171,28565597,1499953311,9,23.4
172,28551649,1499953349,38,26.6
173,28565590,1499953356,7,25
174,28579538,1499953357,1,22.9
175,28593492,1499953361,4,22.7
176,28607453,1499953364,3,14.4
177,28621421,1499953370,6,14.4
178,28607446,1499953389,19,15.5
179,28593478,1499953408,19,15.8
180,28607439,1499953418,10,11.6
181,28593471,1499953450,32,13.9
182,28607432,1499953454,4,10.5
183,28593464,1499953487,33,13.1
184,28607425,1499953498,11,14.1
185,28621393,1499953509,11,14.8
186,28635368,1499953519,10,15.5
187,28649350,1499953522,3,15.2
188,28663338,1499953534,12,14.5
189,28649343,1499953547,13,13.9
190,28663331,1499953548,1,13
191,28649336,1499953579,31,12.9
192,28663324,1499953583,4,12.9
193,28677319,1499953589,6,10.2
194,28663317,1499953602,13,10.4
195,28649322,1499953616,14,10.7
196,28663310,1499953623,7,10.4
197,28677305,1499953627,4,10.5
198,28663303,1499953649,22,11.5
199,28649308,1499953668,19,12.1
200,28663296,1499953671,3,12.3
201,28649301,1499953685,14,10.6
202,28663289,1499953694,9,11.1
203,28649294,1499953732,38,14.3
204,28635306,1499953749,17,14.7
