num, diff, time, interval, avg
3,27959006,1499942970,20,20
4,27945355,1499942991,21,20.5
5,27931710,1499943022,31,24
6,27918072,1499943055,33,26.25
7,27904441,1499943077,22,25.4
8,27918066,1499943080,3,21.666666666666668
9,27931697,1499943083,3,19
10,27918059,1499943115,32,20.625
11,27904428,1499943169,54,24.333333333333332
12,27918053,1499943179,10,22.9
13,27931684,1499943181,2,21.1
14,27918046,1499943194,13,20.3
15,27931677,1499943198,4,17.6
16,27918039,1499943221,23,16.6
17,27931670,1499943225,4,14.8
18,27945308,1499943226,1,14.6
19,27931663,1499943245,19,16.2
20,27945301,1499943253,8,13.8
21,27958946,1499943259,6,9
22,27945295,1499943277,18,9.8
23,27958940,1499943280,3,9.9
24,27972591,1499943287,7,9.3
25,27958933,1499943320,33,12.2
26,27972584,1499943332,12,11.1
27,27986242,1499943338,6,11.3
28,27999907,1499943342,4,11.6
29,27986236,1499943368,26,12.3
30,27972571,1499943396,28,14.3
31,27986229,1499943406,10,14.7
32,27972564,1499943426,20,14.9
33,27986222,1499943435,9,15.5
34,27999887,1499943443,8,15.6
35,27986216,1499943504,61,18.4
36,27999881,1499943509,5,17.7
37,28013552,1499943521,12,18.3
38,28027230,1499943530,9,18.8
39,28040915,1499943537,7,16.9
40,28027224,1499943563,26,16.7
41,28040909,1499943574,11,16.8
42,28054600,1499943579,5,15.3
43,28040902,1499943596,17,16.1
44,28054593,1499943604,8,16.1
45,28040895,1499943621,17,11.7
46,28054586,1499943627,6,11.8
47,28040888,1499943649,22,12.8
48,28027197,1499943663,14,13.3
49,28013512,1499943683,20,14.6
50,27999834,1499943715,32,15.2
51,27986163,1499943734,19,16
52,27972498,1499943750,16,17.1
53,27986156,1499943759,9,16.3
54,27999821,1499943761,2,15.7
55,28013492,1499943772,11,15.1
56,28027170,1499943784,12,15.7
57,28040855,1499943793,9,14.4
58,28054546,1499943800,7,13.7
59,28068244,1499943810,10,12.7
60,28081949,1499943813,3,9.8
61,28068238,1499943838,25,10.4
62,28081943,1499943841,3,9.1
63,28095654,1499943842,1,8.3
64,28109372,1499943845,3,8.4
65,28123097,1499943851,6,7.9
66,28136828,1499943858,7,7.4
67,28123090,1499943879,21,8.6
68,28109359,1499943916,37,11.6
69,28123084,1499943925,9,11.5
70,28109353,1499943939,14,12.6
71,28095628,1499943952,13,11.4
72,28109346,1499943956,4,11.5
73,28123071,1499943962,6,12
74,28136802,1499943966,4,12.1
75,28123064,1499943999,33,14.8
76,28136795,1499944006,7,14.8
77,28150533,1499944017,11,13.8
78,28164278,1499944024,7,10.8
79,28150526,1499944039,15,11.4
80,28136781,1499944055,16,11.6
81,28150519,1499944058,3,10.6
82,28164264,1499944063,5,10.7
83,28150512,1499944096,33,13.4
84,28164257,1499944104,8,13.8
85,28178009,1499944110,6,11.1
86,28191767,1499944113,3,10.7
87,28178002,1499944129,16,11.2
88,28164244,1499944164,35,14
89,28177996,1499944174,10,13.5
90,28191754,1499944184,10,12.9
91,28205519,1499944189,5,13.1
92,28191747,1499944227,38,16.4
93,28205512,1499944235,8,13.9
94,28219284,1499944240,5,13.6
95,28233062,1499944247,7,13.7
96,28246847,1499944257,10,14.4
97,28233055,1499944275,18,14.6
98,28219270,1499944305,30,14.1
99,28233048,1499944312,7,13.8
100,28219263,1499944355,43,17.1
101,28205485,1499944370,15,18.1
102,28219257,1499944378,8,15.1
103,28205479,1499944391,13,15.6
104,28191707,1499944412,21,17.2
105,28205472,1499944418,6,17.1
106,28219244,1499944421,3,16.4
107,28233022,1499944423,2,14.8
108,28246807,1499944429,6,12.4
109,28260599,1499944441,12,12.9
110,28246800,1499944459,18,10.4
111,28260592,1499944462,3,9.2
112,28274391,1499944474,12,9.6
113,28260586,1499944544,70,15.3
114,28274385,1499944555,11,14.3
115,28260580,1499944573,18,15.5
116,28246781,1499944608,35,18.7
117,28260573,1499944616,8,19.3
118,28274372,1499944621,5,19.2
119,28260567,1499944635,14,19.4
120,28274366,1499944645,10,18.6
121,28260561,1499944671,26,20.9
122,28246762,1499944689,18,21.5
123,28260554,1499944699,10,15.5
124,28274353,1499944708,9,15.3
125,28288158,1499944717,9,14.4
126,28301970,1499944727,10,11.9
127,28288151,1499944755,28,13.9
128,28274339,1499944781,26,16
129,28288144,1499944789,8,15.4
130,28274332,1499944803,14,15.8
131,28288137,1499944813,10,14.2
132,28301949,1499944819,6,13
133,28315768,1499944825,6,12.6
134,28301942,1499944840,15,13.2
135,28288123,1499944858,18,14.1
136,28274311,1499944881,23,15.4
137,28260506,1499944897,16,14.2
138,28274305,1499944903,6,12.2
139,28260500,1499944917,14,12.8
140,28274299,1499944924,7,12.1
141,28288104,1499944936,12,12.3
142,28301916,1499944942,6,12.3
143,28315735,1499944947,5,12.2
144,28301909,1499944963,16,12.3
145,28315728,1499944974,11,11.6
146,28329554,1499944985,11,10.4
147,28315722,1499945007,22,11
148,28301896,1499945029,22,12.6
149,28315715,1499945037,8,12
150,28329541,1499945045,8,12.1
151,28343373,1499945049,4,11.3
152,28357212,1499945061,12,11.9
153,28371058,1499945065,4,11.8
154,28384911,1499945068,3,10.5
155,28371052,1499945107,39,13.3
156,28384905,1499945108,1,12.3
157,28398764,1499945113,5,10.6
158,28384898,1499945129,16,10
159,28371039,1499945144,15,10.7
160,28357186,1499945165,21,12
161,28343340,1499945234,69,18.5
162,28329501,1499945252,18,19.1
163,28315669,1499945280,28,21.5
164,28329495,1499945288,8,22
165,28315663,1499945329,41,22.2
166,28301837,1499945342,13,23.4
167,28315656,1499945343,1,23
168,28329482,1499945347,4,21.8
169,28343314,1499945358,11,21.4
170,28329475,1499945421,63,25.6
171,28343307,1499945429,8,19.5
172,28329468,1499945460,31,20.8
173,28315636,1499945508,48,22.8
174,28301811,1499945521,13,23.3
175,28287992,1499945534,13,20.5
176,28301804,1499945544,10,20.2
177,28287985,1499945585,41,24.2
178,28274173,1499945605,20,25.8
179,28260368,1499945620,15,26.2
180,28246569,1499945641,21,22
181,28232777,1499945656,15,22.7
182,28246562,1499945663,7,20.3
183,28232770,1499945676,13,16.8
184,28246555,1499945680,4,15.9
185,28260347,1499945686,6,15.2
186,28246549,1499945699,13,15.5
187,28232757,1499945714,15,12.9
188,28246542,1499945716,2,11.1
189,28260334,1499945720,4,10
