num, diff, time, interval, avg
3,27959006,1499856675,36,36
4,27945355,1499856706,31,33.5
5,27931710,1499856720,14,27
6,27918072,1499856738,18,24.75
7,27904441,1499856751,13,22.4
8,27890816,1499856771,20,22
9,27904434,1499856776,5,19.571428571428573
10,27918059,1499856784,8,18.125
11,27904428,1499856799,15,17.77777777777778
12,27890803,1499856818,19,17.9
13,27877185,1499856837,19,16.2
14,27890796,1499856844,7,13.8
15,27877178,1499856862,18,14.2
16,27863567,1499856884,22,14.6
17,27849962,1499856900,16,14.9
18,27863560,1499856906,6,13.5
19,27877165,1499856917,11,14.1
20,27890776,1499856929,12,14.5
21,27877158,1499856947,18,14.8
22,27890769,1499856956,9,13.8
23,27877151,1499857000,44,16.3
24,27890762,1499857010,10,16.6
25,27904380,1499857015,5,15.3
26,27918005,1499857025,10,14.1
27,27904374,1499857054,29,15.4
28,27917999,1499857059,5,15.3
29,27931630,1499857062,3,14.5
30,27945268,1499857066,4,13.7
31,27958913,1499857072,6,12.5
32,27972564,1499857076,4,12
33,27986222,1499857078,2,7.8
34,27972557,1499857108,30,9.8
35,27986215,1499857112,4,9.7
36,27972550,1499857130,18,10.5
37,27986208,1499857139,9,8.5
38,27972543,1499857160,21,10.1
39,27986201,1499857171,11,10.9
40,27999866,1499857176,5,11
41,27986195,1499857206,30,13.4
42,27999860,1499857212,6,13.6
43,28013531,1499857218,6,14
44,27999853,1499857233,15,12.5
45,27986182,1499857264,31,15.2
46,27999847,1499857269,5,13.9
47,28013518,1499857272,3,13.3
48,27999840,1499857291,19,13.1
49,28013511,1499857303,12,13.2
50,28027189,1499857310,7,13.4
51,28013504,1499857325,15,11.9
52,28027182,1499857329,4,11.7
53,28040867,1499857336,7,11.8
54,28027176,1499857365,29,13.2
55,28013491,1499857390,25,12.6
56,28027169,1499857402,12,13.3
57,28040854,1499857412,10,14
58,28027163,1499857428,16,13.7
59,28040848,1499857437,9,13.4
60,28054539,1499857444,7,13.4
61,28068237,1499857453,9,12.8
62,28081942,1499857461,8,13.2
63,28095653,1499857470,9,13.4
64,28081935,1499857496,26,13.1
65,28095646,1499857498,2,10.8
66,28109364,1499857502,4,10
67,28123089,1499857507,5,9.5
68,28136820,1499857516,9,8.8
69,28150558,1499857528,12,9.1
